userId,movieId,timestamp,rating,rating_good,user_gender,user_generation,title,genre_Action,genre_Adventure,genre_Animation,genre_Children,genre_Comedy,genre_Crime,genre_Drama,genre_Fantasy,genre_Horror,genre_IMAX,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Thriller,genre_War
1,1,964982703,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
5,1,847434962,4.0,0,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
7,1,1106635946,4.5,1,F,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
15,1,1510577970,2.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
17,1,1305696483,4.5,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
18,1,1455209816,3.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
19,1,965705637,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
21,1,1407618878,3.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
27,1,962685262,3.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
31,1,850466616,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
32,1,856736119,3.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
33,1,939647444,3.0,0,M,Young,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
40,1,832058959,5.0,1,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
43,1,848993983,5.0,1,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
44,1,869251860,3.0,0,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
45,1,951170182,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
46,1,834787906,5.0,1,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
50,1,1514238116,3.0,0,M,Young,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
54,1,830247330,3.0,0,M,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
57,1,965796031,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
63,1,1443199669,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
64,1,1161520134,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
66,1,1104643957,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
68,1,1158531426,2.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
71,1,864737933,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
73,1,1464196374,4.5,1,F,Young,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
76,1,1439165548,0.5,0,M,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
78,1,1252575124,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
82,1,1084467729,2.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
86,1,1344082549,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
89,1,1520408314,3.0,0,F,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
90,1,856353996,3.0,0,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
91,1,1112713037,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
93,1,942767337,3.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
96,1,964772990,5.0,1,M,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
98,1,1532457849,4.5,1,M,Young,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
103,1,1431954238,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
107,1,829322340,4.0,0,F,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
112,1,1442535639,3.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
119,1,1435942468,3.5,0,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
121,1,847656180,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
124,1,1336584336,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
130,1,832589610,3.0,0,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
132,1,1157921785,2.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
134,1,832841103,3.0,0,F,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
135,1,1009691859,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
137,1,1204859907,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
140,1,942924980,3.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
141,1,1513130643,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
144,1,1137323419,3.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
145,1,832105242,5.0,1,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
151,1,855947195,5.0,1,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
153,1,1525548642,2.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
155,1,961861723,3.0,0,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
156,1,1106854640,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
159,1,1508640172,4.5,1,M,Young,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
160,1,971115026,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
161,1,1176751765,4.0,0,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
166,1,1189980529,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
167,1,1154721923,3.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
169,1,1059427918,4.5,1,F,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
171,1,866904159,5.0,1,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
177,1,1435533535,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
178,1,1164354911,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
179,1,852114051,4.0,0,F,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
182,1,1063289621,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
185,1,1044311830,4.0,0,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
186,1,1031080831,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
191,1,829759809,4.0,0,F,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
193,1,1435856890,2.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
200,1,1229886312,3.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
201,1,939801780,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
202,1,974923506,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
206,1,850763267,5.0,1,M,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
213,1,1316196157,3.5,0,F,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
214,1,853937855,3.0,0,F,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
216,1,975211713,3.0,0,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
217,1,955942540,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
219,1,1194681084,3.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
220,1,1230055565,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
223,1,1226209758,3.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
226,1,1095662606,3.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
229,1,838144316,5.0,1,M,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
232,1,1076955621,3.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
233,1,1524781249,3.0,0,M,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
234,1,1004409347,5.0,1,F,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
239,1,1221158265,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
240,1,849122434,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
247,1,1467644119,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
249,1,1347317775,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
252,1,1498284904,4.5,1,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
254,1,1180446553,4.5,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
263,1,940384199,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
264,1,1136978964,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
266,1,945669542,2.0,0,M,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
269,1,850865423,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
270,1,853918728,5.0,1,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
273,1,835861234,5.0,1,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
274,1,1171410158,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
275,1,1049076484,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
276,1,858350384,4.0,0,M,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
277,1,861812794,4.0,0,M,Young,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
279,1,1506394495,3.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
280,1,1348435273,4.5,1,F,Young,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
282,1,1378495714,4.5,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
283,1,901227602,3.0,0,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
288,1,1054568869,4.5,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
290,1,975031464,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
291,1,1453051567,4.0,0,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
292,1,1219625000,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
293,1,1044870886,3.0,0,F,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
298,1,1447518257,2.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
304,1,881428344,5.0,1,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
307,1,1186160893,4.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
314,1,834398280,3.0,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
322,1,1217676206,3.5,0,M,Senior,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
323,1,1422640363,3.5,0,M,Middle,Toy Story (1995),0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
